timestamp,symbol,currency,price,quantity,day
0,AMETHYSTS,SEASHELLS,9996.0,1,-2
0,STARFRUIT,SEASHELLS,5003.0,1,-2
0,AMETHYSTS,SEASHELLS,9996.0,1,-2
100,STARFRUIT,SEASHELLS,5004.0,6,-2
900,STARFRUIT,SEASHELLS,5001.0,2,-2
1000,STARFRUIT,SEASHELLS,4997.0,2,-2
1100,STARFRUIT,SEASHELLS,4997.0,1,-2
1500,STARFRUIT,SEASHELLS,5003.0,1,-2
1500,AMETHYSTS,SEASHELLS,10004.0,1,-2
1800,STARFRUIT,SEASHELLS,5001.0,10,-2
1800,STARFRUIT,SEASHELLS,5001.0,1,-2
1800,STARFRUIT,SEASHELLS,5002.0,1,-2
2000,STARFRUIT,SEASHELLS,5002.0,1,-2
2100,STARFRUIT,SEASHELLS,5001.0,4,-2
2500,AMETHYSTS,SEASHELLS,9998.0,1,-2
2500,STARFRUIT,SEASHELLS,4996.0,11,-2
3200,AMETHYSTS,SEASHELLS,9996.0,1,-2
3200,STARFRUIT,SEASHELLS,4996.0,1,-2
3300,STARFRUIT,SEASHELLS,4997.0,2,-2
3300,AMETHYSTS,SEASHELLS,9995.0,2,-2
3600,AMETHYSTS,SEASHELLS,10005.0,6,-2
3900,STARFRUIT,SEASHELLS,5002.0,1,-2
4000,AMETHYSTS,SEASHELLS,9998.0,1,-2
4200,AMETHYSTS,SEASHELLS,10004.0,2,-2
4200,AMETHYSTS,SEASHELLS,10004.0,1,-2
4200,STARFRUIT,SEASHELLS,4998.0,1,-2
4400,STARFRUIT,SEASHELLS,5002.0,2,-2
4500,STARFRUIT,SEASHELLS,4997.0,8,-2
4500,STARFRUIT,SEASHELLS,4997.0,1,-2
5800,STARFRUIT,SEASHELLS,4999.0,7,-2
6500,STARFRUIT,SEASHELLS,5000.0,5,-2
6600,STARFRUIT,SEASHELLS,4999.0,1,-2
6700,AMETHYSTS,SEASHELLS,9998.0,2,-2
6700,STARFRUIT,SEASHELLS,4998.0,2,-2
6700,STARFRUIT,SEASHELLS,4999.0,4,-2
7100,STARFRUIT,SEASHELLS,4999.0,5,-2
7200,STARFRUIT,SEASHELLS,5005.0,4,-2
7300,STARFRUIT,SEASHELLS,4998.0,1,-2
7400,STARFRUIT,SEASHELLS,5005.0,1,-2
7400,AMETHYSTS,SEASHELLS,10002.0,1,-2
7400,STARFRUIT,SEASHELLS,5003.0,1,-2
7500,AMETHYSTS,SEASHELLS,10002.0,1,-2
7800,STARFRUIT,SEASHELLS,5002.0,1,-2
7800,STARFRUIT,SEASHELLS,5002.0,1,-2
8600,STARFRUIT,SEASHELLS,5004.0,1,-2
8600,AMETHYSTS,SEASHELLS,10002.0,1,-2
8700,STARFRUIT,SEASHELLS,5002.0,9,-2
8700,STARFRUIT,SEASHELLS,5004.0,2,-2
8700,AMETHYSTS,SEASHELLS,10002.0,2,-2
8800,STARFRUIT,SEASHELLS,5003.0,1,-2
8800,AMETHYSTS,SEASHELLS,10002.0,1,-2
9600,AMETHYSTS,SEASHELLS,10000.0,3,-2
10100,AMETHYSTS,SEASHELLS,9998.0,1,-2
10200,STARFRUIT,SEASHELLS,4996.0,1,-2
10200,AMETHYSTS,SEASHELLS,9996.0,1,-2
11100,AMETHYSTS,SEASHELLS,10005.0,2,-2
11100,STARFRUIT,SEASHELLS,5005.0,12,-2
11100,STARFRUIT,SEASHELLS,5005.0,2,-2
11300,STARFRUIT,SEASHELLS,4998.0,1,-2
11400,STARFRUIT,SEASHELLS,4997.0,1,-2
12000,STARFRUIT,SEASHELLS,4999.0,2,-2
12000,STARFRUIT,SEASHELLS,4999.0,2,-2
13000,STARFRUIT,SEASHELLS,5001.0,2,-2
13000,AMETHYSTS,SEASHELLS,9998.0,1,-2
13500,STARFRUIT,SEASHELLS,4998.0,1,-2
13600,AMETHYSTS,SEASHELLS,9998.0,1,-2
13900,STARFRUIT,SEASHELLS,4998.0,2,-2
13900,AMETHYSTS,SEASHELLS,9996.0,1,-2
13900,AMETHYSTS,SEASHELLS,9996.0,1,-2
14000,AMETHYSTS,SEASHELLS,10005.0,7,-2
14300,STARFRUIT,SEASHELLS,4998.0,1,-2
15000,STARFRUIT,SEASHELLS,4998.0,1,-2
15100,AMETHYSTS,SEASHELLS,10005.0,4,-2
15400,AMETHYSTS,SEASHELLS,10002.0,5,-2
16400,STARFRUIT,SEASHELLS,4998.0,6,-2
17000,STARFRUIT,SEASHELLS,5003.0,9,-2
17200,STARFRUIT,SEASHELLS,4996.0,1,-2
17300,AMETHYSTS,SEASHELLS,10002.0,1,-2
17400,STARFRUIT,SEASHELLS,5003.0,10,-2
18000,STARFRUIT,SEASHELLS,5002.0,4,-2
18100,STARFRUIT,SEASHELLS,4996.0,1,-2
18200,AMETHYSTS,SEASHELLS,9998.0,1,-2
18200,STARFRUIT,SEASHELLS,4996.0,8,-2
18300,AMETHYSTS,SEASHELLS,10005.0,2,-2
18300,AMETHYSTS,SEASHELLS,9998.0,1,-2
18300,STARFRUIT,SEASHELLS,5000.0,2,-2
18500,AMETHYSTS,SEASHELLS,10005.0,5,-2
18600,STARFRUIT,SEASHELLS,4996.0,1,-2
19200,STARFRUIT,SEASHELLS,4996.0,1,-2
19400,STARFRUIT,SEASHELLS,4996.0,1,-2
19500,AMETHYSTS,SEASHELLS,10002.0,1,-2
19600,AMETHYSTS,SEASHELLS,10002.0,1,-2
19900,AMETHYSTS,SEASHELLS,10002.0,1,-2
20200,AMETHYSTS,SEASHELLS,10002.0,1,-2
20300,STARFRUIT,SEASHELLS,5002.0,1,-2
20600,AMETHYSTS,SEASHELLS,9998.0,1,-2
20600,AMETHYSTS,SEASHELLS,9995.0,9,-2
20900,STARFRUIT,SEASHELLS,5002.0,1,-2
20900,AMETHYSTS,SEASHELLS,9998.0,1,-2
21300,AMETHYSTS,SEASHELLS,10002.0,1,-2
21300,STARFRUIT,SEASHELLS,5002.0,1,-2
21400,STARFRUIT,SEASHELLS,5001.0,1,-2
21800,STARFRUIT,SEASHELLS,5001.0,1,-2
22300,STARFRUIT,SEASHELLS,4997.0,1,-2
22700,AMETHYSTS,SEASHELLS,9998.0,1,-2
22900,STARFRUIT,SEASHELLS,4998.0,2,-2
23000,AMETHYSTS,SEASHELLS,9998.0,4,-2
23100,STARFRUIT,SEASHELLS,5001.0,1,-2
23300,AMETHYSTS,SEASHELLS,9998.0,2,-2
23900,AMETHYSTS,SEASHELLS,9998.0,3,-2
23900,AMETHYSTS,SEASHELLS,9995.0,8,-2
24000,STARFRUIT,SEASHELLS,5001.0,3,-2
24200,STARFRUIT,SEASHELLS,4996.0,5,-2
24300,AMETHYSTS,SEASHELLS,10002.0,1,-2
24500,STARFRUIT,SEASHELLS,5002.0,1,-2
