day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,old_timestamp
0,0,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,0
0,100,AMETHYSTS,10000,5,9995.0,20.0,,,10005,20,,,,,10002.5,100
0,200,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,200
0,300,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,300
0,400,AMETHYSTS,9995,20,,,,,9998,3,10002.0,9.0,10005.0,20.0,9996.5,400
0,500,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,500
0,600,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,600
0,700,AMETHYSTS,9998,5,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,700
0,800,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,800
0,900,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,900
0,1000,AMETHYSTS,10002,1,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10003.0,1000
0,1100,AMETHYSTS,9998,3,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10001.0,1100
0,1200,AMETHYSTS,9998,6,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,1200
0,1300,AMETHYSTS,10000,3,9995.0,23.0,,,10005,23,,,,,10002.5,1300
0,1400,AMETHYSTS,9995,26,,,,,9998,3,10005.0,26.0,,,9996.5,1400
0,1500,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,1500
0,1600,AMETHYSTS,9996,1,9995.0,23.0,,,10004,1,10005.0,23.0,,,10000.0,1600
0,1700,AMETHYSTS,9995,28,,,,,10002,6,10005.0,28.0,,,9998.5,1700
0,1800,AMETHYSTS,9998,10,9995.0,24.0,,,10005,24,,,,,10001.5,1800
0,1900,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,1900
0,2000,AMETHYSTS,9996,1,9995.0,30.0,,,10004,1,10005.0,30.0,,,10000.0,2000
0,2100,AMETHYSTS,9996,2,9995.0,20.0,,,10004,2,10005.0,20.0,,,10000.0,2100
0,2200,AMETHYSTS,10002,1,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10003.0,2200
0,2300,AMETHYSTS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,2300
0,2400,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,2400
0,2500,AMETHYSTS,9995,21,,,,,9998,1,10005.0,21.0,,,9996.5,2500
0,2600,AMETHYSTS,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,2600
0,2700,AMETHYSTS,9996,1,9995.0,26.0,,,10002,8,10004.0,1.0,10005.0,26.0,9999.0,2700
0,2800,AMETHYSTS,9995,28,,,,,10005,28,,,,,10000.0,2800
0,2900,AMETHYSTS,9995,30,,,,,10005,30,,,,,10000.0,2900
0,3000,AMETHYSTS,10002,3,9996.0,2.0,9995.0,26.0,10004,2,10005.0,26.0,,,10003.0,3000
0,3100,AMETHYSTS,9996,2,9995.0,23.0,,,10004,2,10005.0,23.0,,,10000.0,3100
0,3200,AMETHYSTS,9996,2,9995.0,26.0,,,10004,2,10005.0,26.0,,,10000.0,3200
0,3300,AMETHYSTS,9995,20,,,,,10005,20,,,,,10000.0,3300
0,3400,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,3400
0,3500,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,3500
0,3600,AMETHYSTS,9998,3,9995.0,26.0,,,10005,26,,,,,10001.5,3600
0,3700,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,3700
0,3800,AMETHYSTS,9995,27,,,,,10002,7,10005.0,27.0,,,9998.5,3800
0,3900,AMETHYSTS,9996,1,9995.0,25.0,,,10004,1,10005.0,25.0,,,10000.0,3900
0,4000,AMETHYSTS,9998,2,9995.0,27.0,,,10005,27,,,,,10001.5,4000
0,4100,AMETHYSTS,9998,8,9995.0,28.0,,,10005,28,,,,,10001.5,4100
0,4200,AMETHYSTS,9998,6,9996.0,2.0,9995.0,23.0,10004,2,10005.0,23.0,,,10001.0,4200
0,4300,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,4300
0,4400,AMETHYSTS,9998,8,9996.0,1.0,9995.0,28.0,10004,1,10005.0,28.0,,,10001.0,4400
0,4500,AMETHYSTS,9998,1,9996.0,1.0,9995.0,29.0,10004,1,10005.0,29.0,,,10001.0,4500
0,4600,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,4600
0,4700,AMETHYSTS,9996,1,9995.0,29.0,,,10002,3,10004.0,1.0,10005.0,29.0,9999.0,4700
0,4800,AMETHYSTS,9996,2,9995.0,24.0,,,10002,6,10004.0,2.0,10005.0,24.0,9999.0,4800
0,4900,AMETHYSTS,10002,1,9996.0,2.0,9995.0,22.0,10004,2,10005.0,22.0,,,10003.0,4900
0,5000,AMETHYSTS,9996,1,9995.0,20.0,,,10002,1,10004.0,1.0,10005.0,20.0,9999.0,5000
0,5100,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,5100
0,5200,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,5200
0,5300,AMETHYSTS,9996,1,9995.0,22.0,,,10004,1,10005.0,22.0,,,10000.0,5300
0,5400,AMETHYSTS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,5400
0,5500,AMETHYSTS,9998,7,9996.0,2.0,9995.0,28.0,10004,2,10005.0,28.0,,,10001.0,5500
0,5600,AMETHYSTS,10000,6,9996.0,2.0,9995.0,30.0,10004,2,10005.0,30.0,,,10002.0,5600
0,5700,AMETHYSTS,9995,29,,,,,10002,1,10005.0,29.0,,,9998.5,5700
0,5800,AMETHYSTS,9996,2,9995.0,26.0,,,10004,2,10005.0,26.0,,,10000.0,5800
0,5900,AMETHYSTS,9998,2,9996.0,1.0,9995.0,28.0,10004,1,10005.0,28.0,,,10001.0,5900
0,6000,AMETHYSTS,9996,2,9995.0,21.0,,,10004,2,10005.0,21.0,,,10000.0,6000
0,6100,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,6100
0,6200,AMETHYSTS,9996,2,9995.0,23.0,,,10004,2,10005.0,23.0,,,10000.0,6200
0,6300,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,6300
0,6400,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,6400
0,6500,AMETHYSTS,10000,5,9996.0,1.0,9995.0,21.0,10004,1,10005.0,21.0,,,10002.0,6500
0,6600,AMETHYSTS,9996,2,9995.0,23.0,,,10004,2,10005.0,23.0,,,10000.0,6600
0,6700,AMETHYSTS,9998,3,9996.0,1.0,9995.0,27.0,10004,1,10005.0,27.0,,,10001.0,6700
0,6800,AMETHYSTS,9996,1,9995.0,23.0,,,10004,1,10005.0,23.0,,,10000.0,6800
0,6900,AMETHYSTS,9995,28,,,,,10002,1,10005.0,28.0,,,9998.5,6900
0,7000,AMETHYSTS,9995,24,,,,,10005,24,,,,,10000.0,7000
0,7100,AMETHYSTS,9995,26,,,,,10005,26,,,,,10000.0,7100
0,7200,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,7200
0,7300,AMETHYSTS,9996,1,9995.0,27.0,,,10004,1,10005.0,27.0,,,10000.0,7300
0,7400,AMETHYSTS,9995,28,,,,,10002,3,10005.0,28.0,,,9998.5,7400
0,7500,AMETHYSTS,10002,1,9996.0,1.0,9995.0,25.0,10004,1,10005.0,25.0,,,10003.0,7500
0,7600,AMETHYSTS,9996,2,9995.0,28.0,,,10004,2,10005.0,28.0,,,10000.0,7600
0,7700,AMETHYSTS,9996,1,9995.0,25.0,,,10002,1,10004.0,1.0,10005.0,25.0,9999.0,7700
0,7800,AMETHYSTS,9996,1,9995.0,21.0,,,10004,1,10005.0,21.0,,,10000.0,7800
0,7900,AMETHYSTS,9996,1,9995.0,29.0,,,10004,1,10005.0,29.0,,,10000.0,7900
0,8000,AMETHYSTS,9998,9,9996.0,1.0,9995.0,23.0,10004,1,10005.0,23.0,,,10001.0,8000
0,8100,AMETHYSTS,9998,9,9996.0,1.0,9995.0,20.0,10004,1,10005.0,20.0,,,10001.0,8100
0,8200,AMETHYSTS,9995,30,,,,,10002,10,10005.0,30.0,,,9998.5,8200
0,8300,AMETHYSTS,9996,2,9995.0,27.0,,,10004,2,10005.0,27.0,,,10000.0,8300
0,8400,AMETHYSTS,9998,6,9995.0,25.0,,,10005,25,,,,,10001.5,8400
0,8500,AMETHYSTS,9996,1,9995.0,23.0,,,9998,6,10004.0,1.0,10005.0,23.0,9997.0,8500
0,8600,AMETHYSTS,9996,1,9995.0,27.0,,,10002,10,10004.0,1.0,10005.0,27.0,9999.0,8600
0,8700,AMETHYSTS,9996,2,9995.0,22.0,,,10002,5,10004.0,2.0,10005.0,22.0,9999.0,8700
0,8800,AMETHYSTS,10002,1,9998.0,1.0,9995.0,20.0,10005,20,,,,,10003.5,8800
0,8900,AMETHYSTS,9996,1,9995.0,26.0,,,10004,1,10005.0,26.0,,,10000.0,8900
0,9000,AMETHYSTS,9996,2,9995.0,29.0,,,10004,2,10005.0,29.0,,,10000.0,9000
0,9100,AMETHYSTS,9995,24,,,,,10005,24,,,,,10000.0,9100
0,9200,AMETHYSTS,9995,28,,,,,10002,2,10005.0,28.0,,,9998.5,9200
0,9300,AMETHYSTS,10000,5,9998.0,9.0,9996.0,2.0,10004,2,10005.0,26.0,,,10002.0,9300
0,9400,AMETHYSTS,9996,2,9995.0,25.0,,,10004,2,10005.0,25.0,,,10000.0,9400
